dataset_idx,dataset_name,traj_idx,traj_name,frame_idx,clean_target_mean_partial_rms,adv_target_mean_partial_rms,adv_delta_target_mean_partial_rms,adv_ratio_target_mean_partial_rms,adv_delta_ratio_target_mean_partial_rms
1,1,12,00012_seed_00001,3,1.2891241312026978,1.2891240119934082,-1.1920928955078125e-07,0.9999999075269117,1.2891240119934082
1,1,12,00012_seed_00001,4,1.7178797721862793,1.7178797721862793,0.0,1.0,1.7178797721862793
1,1,12,00012_seed_00001,5,2.146165609359741,2.146165609359741,0.0,1.0,2.146165609359741
1,1,12,00012_seed_00001,6,2.5739905834198,2.5739905834198,0.0,1.0,2.5739905834198
1,1,12,00012_seed_00001,7,3.0013606548309326,3.0013606548309326,0.0,1.0,3.0013606548309326
1,1,13,00013_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,13,00013_seed_00001,1,0.4026672840118408,0.4026672840118408,0.0,1.0,0.4026672840118408
1,1,13,00013_seed_00001,2,0.8009465336799622,0.8009465336799622,0.0,1.0,0.8009465336799622
1,1,13,00013_seed_00001,3,1.194777011871338,1.1947771310806274,1.1920928955078125e-07,1.0000000997753458,1.1947771310806274
1,1,13,00013_seed_00001,4,1.5840953588485718,1.5840957164764404,3.5762786865234375e-07,1.0000002257615785,1.5840957164764404
1,1,13,00013_seed_00001,5,1.9688420295715332,1.9688420295715332,0.0,1.0,1.9688420295715332
1,1,13,00013_seed_00001,6,2.348947763442993,2.3489480018615723,2.384185791015625e-07,1.0000001015001623,2.3489480018615723
1,1,13,00013_seed_00001,7,2.7243475914001465,2.7243475914001465,0.0,1.0,2.7243475914001465
1,1,14,00014_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,14,00014_seed_00001,1,0.41759195923805237,0.41759195923805237,0.0,1.0,0.41759195923805237
1,1,14,00014_seed_00001,2,0.8327539563179016,0.8327540755271912,1.1920928955078125e-07,1.0000001431506733,0.8327540755271912
1,1,14,00014_seed_00001,3,1.2454683780670166,1.2454683780670166,0.0,1.0,1.2454683780670166
1,1,14,00014_seed_00001,4,1.6557210683822632,1.6557210683822632,0.0,1.0,1.6557210683822632
1,1,14,00014_seed_00001,5,2.0634918212890625,2.0634920597076416,2.384185791015625e-07,1.000000115541325,2.0634920597076416
1,1,14,00014_seed_00001,6,2.46876859664917,2.46876859664917,0.0,1.0,2.46876859664917
1,1,14,00014_seed_00001,7,2.871525764465332,2.871525764465332,0.0,1.0,2.871525764465332
1,1,15,00015_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,15,00015_seed_00001,1,0.42715150117874146,0.42715150117874146,0.0,1.0,0.42715150117874146
1,1,15,00015_seed_00001,2,0.853287935256958,0.853287935256958,0.0,1.0,0.853287935256958
1,1,15,00015_seed_00001,3,1.2784335613250732,1.2784335613250732,0.0,1.0,1.2784335613250732
1,1,15,00015_seed_00001,4,1.7026170492172241,1.7026171684265137,1.1920928955078125e-07,1.000000070015327,1.7026171684265137
1,1,15,00015_seed_00001,5,2.1258633136749268,2.1258633136749268,0.0,1.0,2.1258633136749268
1,1,15,00015_seed_00001,6,2.5482029914855957,2.5482029914855957,0.0,1.0,2.5482029914855957
1,1,15,00015_seed_00001,7,2.969658851623535,2.9696590900421143,2.384185791015625e-07,1.0000000802848377,2.9696590900421143
1,1,16,00016_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,16,00016_seed_00001,1,0.4207475483417511,0.4207475483417511,0.0,1.0,0.4207475483417511
1,1,16,00016_seed_00001,2,0.8384494185447693,0.8384494185447693,0.0,1.0,0.8384494185447693
1,1,16,00016_seed_00001,3,1.253065586090088,1.253065586090088,0.0,1.0,1.253065586090088
1,1,16,00016_seed_00001,4,1.664552092552185,1.664552092552185,0.0,1.0,1.664552092552185
1,1,16,00016_seed_00001,5,2.072869300842285,2.072869300842285,0.0,1.0,2.072869300842285
1,1,16,00016_seed_00001,6,2.4779694080352783,2.4779694080352783,0.0,1.0,2.4779694080352783
1,1,16,00016_seed_00001,7,2.879810094833374,2.879810094833374,0.0,1.0,2.879810094833374
1,1,17,00017_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,17,00017_seed_00001,1,0.41303393244743347,0.41303393244743347,0.0,1.0,0.41303393244743347
1,1,17,00017_seed_00001,2,0.8255348801612854,0.8255348801612854,0.0,1.0,0.8255348801612854
1,1,17,00017_seed_00001,3,1.2374989986419678,1.2374989986419678,0.0,1.0,1.2374989986419678
1,1,17,00017_seed_00001,4,1.648919939994812,1.6489200592041016,1.1920928955078125e-07,1.0000000722953775,1.6489200592041016
1,1,17,00017_seed_00001,5,2.0597925186157227,2.0597925186157227,0.0,1.0,2.0597925186157227
1,1,17,00017_seed_00001,6,2.4701099395751953,2.4701099395751953,0.0,1.0,2.4701099395751953
1,1,17,00017_seed_00001,7,2.8798701763153076,2.8798701763153076,0.0,1.0,2.8798701763153076
1,1,18,00018_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,18,00018_seed_00001,1,0.4172742962837219,0.4172743260860443,2.9802322387695312e-08,1.000000071421419,0.4172743260860443
1,1,18,00018_seed_00001,2,0.8311442732810974,0.8311442732810974,0.0,1.0,0.8311442732810974
1,1,18,00018_seed_00001,3,1.2415697574615479,1.2415697574615479,0.0,1.0,1.2415697574615479
1,1,18,00018_seed_00001,4,1.6485087871551514,1.6485087871551514,0.0,1.0,1.6485087871551514
1,1,18,00018_seed_00001,5,2.0519165992736816,2.0519168376922607,2.384185791015625e-07,1.0000001161931138,2.0519168376922607
1,1,18,00018_seed_00001,6,2.451751232147217,2.451751470565796,2.384185791015625e-07,1.0000000972441967,2.451751470565796
1,1,18,00018_seed_00001,7,2.847968816757202,2.8479690551757812,2.384185791015625e-07,1.0000000837153054,2.8479690551757812
1,1,19,00019_seed_00001,0,0.0,0.0,0.0,0,0.0
1,1,19,00019_seed_00001,1,0.4347592294216156,0.4347592294216156,0.0,1.0,0.4347592294216156
1,1,19,00019_seed_00001,2,0.868670642375946,0.868670642375946,0.0,1.0,0.868670642375946
1,1,19,00019_seed_00001,3,1.3017468452453613,1.3017469644546509,1.1920928955078125e-07,1.0000000915763998,1.3017469644546509
1,1,19,00019_seed_00001,4,1.7339997291564941,1.7339998483657837,1.1920928955078125e-07,1.0000000687481592,1.7339998483657837
1,1,19,00019_seed_00001,5,2.1654412746429443,2.1654412746429443,0.0,1.0,2.1654412746429443
1,1,19,00019_seed_00001,6,2.5960841178894043,2.5960841178894043,0.0,1.0,2.5960841178894043
1,1,19,00019_seed_00001,7,3.0259439945220947,3.025944232940674,2.384185791015625e-07,1.0000000787914711,3.025944232940674
2,2,20,00020_seed_00001,0,0.0,0.0,0.0,0,0.0
2,2,20,00020_seed_00001,1,0.40142491459846497,0.40142491459846497,0.0,1.0,0.40142491459846497
2,2,20,00020_seed_00001,2,0.7989447712898254,0.7989447712898254,0.0,1.0,0.7989447712898254
